#Gen	m	ibd	hibd	ko	ke	s2	thke	Nke	Nbke	lethal	hoDel	he	hoDom	Nobs
50	0	0.0065	0.022	374	194.899	130.428	193.899	403938	66205.5	0	0	4	1996	10000
50	1	0.0075	0.025	398	173.149	130.428	172.149	358628	58779.3	0	0	0	2000	10000
51	0	0.0075	0.022	366	190.64	108.596	189.64	395066	53912.9	1	0	7	1993	10000
51	1	0.0085	0.02	388	169.671	108.596	168.671	351384	47951.8	1	0	0	2000	10000
52	0	0.012	0.0275	370	186.415	143.905	185.415	386265	69850.8	1	0	8	1992	10000
52	1	0.011	0.0205	395	172.154	143.905	171.154	356556	64478.4	1	0	0	2000	10000
53	0	0.0105	0.0265	360	184.711	138.886	183.711	382714	66794.7	0	0	14	1986	10000
53	1	0.008	0.0225	380	161.884	138.886	160.884	335161	58495.4	0	0	0	2000	10000
54	0	0.009	0.0225	356	188.604	133.096	187.604	390824	65366.5	0	0	15	1985	10000
54	1	0.007	0.023	387	162.101	133.096	161.101	335612	56132.2	0	0	0	2000	10000
55	0	0.0065	0.0195	354	177.285	128.066	176.285	367245	59102	0	1	14	1985	10000
55	1	0.01	0.0195	375	165.477	128.066	164.477	342646	55143.2	0	0	0	2000	10000
56	0	0.0065	0.0255	346	172.738	131.584	171.738	357772	59158.8	0	0	14	1986	10000
56	1	0.0065	0.0175	371	167.838	131.584	166.838	347564	57471	0	0	0	2000	10000
57	0	0.0065	0.026	345	169.833	150.397	168.833	351721	66473.4	1	0	12	1988	10000
57	1	0.0095	0.026	374	173.785	150.397	172.785	359953	68029.1	1	0	0	2000	10000
58	0	0.01	0.0265	342	170.202	151.725	169.202	352489	67206.7	0	0	14	1986	10000
58	1	0.0085	0.0255	373	170.423	151.725	169.423	352950	67294.5	0	0	0	2000	10000
59	0	0.008	0.025	345	168.823	122.17	167.823	349616	53674.1	0	0	15	1985	10000
59	1	0.008	0.0195	359	169.28	122.17	168.28	350568	53820.4	0	0	0	2000	10000
60	0	0.012	0.0285	346	174.353	147.375	173.353	361136	66881.4	0	0	24	1976	10000
60	1	0.0105	0.0215	345	168.687	147.375	167.687	349334	64695.7	0	0	0	2000	10000
61	0	0.0105	0.0275	342	171.325	138.827	170.325	354828	61901.5	1	0	21	1979	10000
61	1	0.009	0.0285	345	159.128	138.827	158.128	329419	57468.8	1	0	0	2000	10000
62	0	0.008	0.028	346	169.499	143.762	168.499	351024	63414.8	0	0	21	1979	10000
62	1	0.0075	0.0265	337	157.162	143.762	156.162	325323	58771.7	0	0	0	2000	10000
63	0	0.007	0.029	335	165.085	131.388	164.085	341828	56438.1	1	0	15	1985	10000
63	1	0.0075	0.022	327	151.705	131.388	150.705	313955	51836	1	0	0	2000	10000
64	0	0.006	0.0195	326	164.123	157.04	163.123	339825	67061.8	0	0	9	1991	10000
64	1	0.006	0.02	327	147.542	157.04	146.542	305282	60245	0	0	0	2000	10000
65	0	0.009	0.024	321	162.006	158.965	161.006	335414	67002.8	1	0	6	1994	10000
65	1	0.009	0.022	338	150.889	158.965	149.889	312256	62376.7	1	0	0	2000	10000
66	0	0.008	0.0255	323	166.203	147.433	165.203	344158	63761.9	0	0	6	1994	10000
66	1	0.0085	0.021	329	149.273	147.433	148.273	308889	57227.8	0	0	0	2000	10000
67	0	0.0085	0.028	317	162.592	131.637	161.592	336635	55686.4	0	0	7	1993	10000
67	1	0.01	0.03	329	149.017	131.637	148.017	308357	51008.5	0	0	0	2000	10000
68	0	0.011	0.0305	310	153.713	134.331	152.713	318139	53703.7	0	0	7	1993	10000
68	1	0.0125	0.0275	332	148.022	134.331	147.022	306283	51702.3	0	0	0	2000	10000
69	0	0.01	0.026	304	153.69	124.288	152.69	318090	49680.6	2	0	11	1989	10000
69	1	0.0105	0.026	329	153.362	124.288	152.362	317408	49574.2	2	0	0	2000	10000
70	0	0.0095	0.03	308	152.616	148.346	151.616	315854	58880.6	0	0	10	1990	10000
70	1	0.0085	0.019	323	152.456	148.346	151.456	315521	58818.5	0	0	0	2000	10000
71	0	0.0065	0.025	307	149.41	140.161	148.41	309174	54455.2	3	0	4	1996	10000
71	1	0.0085	0.025	329	147.289	140.161	146.289	304756	53677	3	0	0	2000	10000
72	0	0.0155	0.028	296	146.56	141.44	145.56	303238	53897.1	0	0	1	1999	10000
72	1	0.0155	0.028	314	140.494	141.44	139.494	290600	51650.8	0	0	0	2000	10000
73	0	0.009	0.0295	297	149.984	144.376	148.984	310370	56309.9	2	0	5	1995	10000
73	1	0.01	0.031	315	138.492	144.376	137.492	286430	51966.4	2	0	0	2000	10000
74	0	0.009	0.029	304	145.009	148.162	144.009	300006	55857	0	0	2	1998	10000
74	1	0.007	0.031	309	136.015	148.162	135.015	281269	52368.5	0	0	0	2000	10000
75	0	0.005	0.0235	291	139.638	147.483	138.638	288817	53527.1	1	0	2	1998	10000
75	1	0.0055	0.0265	307	136.482	147.483	135.482	282241	52308.4	1	0	0	2000	10000
76	0	0.0075	0.032	300	140.776	123.931	139.776	291187	45348.4	0	0	3	1997	10000
76	1	0.009	0.026	309	136.351	123.931	135.351	281970	43913	0	0	0	2000	10000
77	0	0.006	0.0175	292	142.712	122.335	141.712	295221	45384.6	1	0	4	1996	10000
77	1	0.012	0.031	299	133.318	122.335	132.318	275650	42376.1	1	0	0	2000	10000
78	0	0.0085	0.03	282	136.778	149.278	135.778	282859	53060.9	1	0	3	1997	10000
78	1	0.011	0.0275	299	128.847	149.278	127.847	266337	49961.7	1	0	0	2000	10000
79	0	0.0115	0.025	286	138.176	144.305	137.176	285772	51821.6	0	0	4	1996	10000
79	1	0.007	0.0225	299	128.452	144.305	127.452	265514	48148	0	0	0	2000	10000
80	0	0.01	0.0245	277	135.943	141	134.943	281120	49810.6	0	0	3	1997	10000
80	1	0.0055	0.022	300	134.812	141	133.812	278763	49392.8	0	0	0	2000	10000
81	0	0.01	0.031	275	133.547	127.462	132.547	276128	44228.4	0	0	6	1994	10000
81	1	0.0095	0.0245	299	133.775	127.462	132.775	276602	44304.5	0	0	0	2000	10000
82	0	0.008	0.0285	283	134.42	146.985	133.42	277946	51338.4	0	0	4	1996	10000
82	1	0.007	0.0315	298	133.618	146.985	132.618	276277	51030	0	0	0	2000	10000
83	0	0.007	0.0225	279	135.153	137.927	134.153	279474	48439.8	0	0	6	1994	10000
83	1	0.005	0.023	296	129.95	137.927	128.95	268635	46561	0	0	0	2000	10000
84	0	0.01	0.025	273	133.293	122.594	132.293	275599	42457.8	0	0	6	1994	10000
84	1	0.0055	0.02	294	130.109	122.594	129.109	268965	41435.8	0	0	0	2000	10000
85	0	0.006	0.0275	271	129.752	131.858	128.752	268222	44443.8	0	0	8	1992	10000
85	1	0.009	0.0245	291	130.553	131.858	129.553	269890	44720.1	0	0	0	2000	10000
86	0	0.008	0.0245	269	129.967	121.201	128.967	268670	40920.1	0	0	10	1990	10000
86	1	0.0085	0.028	289	128.246	121.201	127.246	265085	40374	0	0	0	2000	10000
87	0	0.006	0.0275	264	126.578	140.827	125.578	261610	46296.8	0	0	8	1992	10000
87	1	0.008	0.0275	280	125.27	140.827	124.27	258885	45814.5	0	0	0	2000	10000
88	0	0.0075	0.022	262	126.767	114.306	125.767	262003	37634.3	0	0	5	1995	10000
88	1	0.0095	0.025	282	128.215	114.306	127.215	265021	38067.8	0	0	0	2000	10000
89	0	0.0075	0.0285	252	125.63	115.882	124.63	259635	37808.4	0	0	7	1993	10000
89	1	0.006	0.0335	282	130.614	115.882	129.614	270018	39320.4	0	0	0	2000	10000
90	0	0.01	0.031	245	124.475	125.599	123.475	257228	40599	1	0	7	1993	10000
90	1	0.0075	0.0315	273	132.848	125.599	131.848	274673	43352.2	1	0	0	2000	10000
91	0	0.0105	0.031	248	129.161	153.967	128.161	266992	51657.7	0	0	14	1986	10000
91	1	0.0115	0.023	272	134.185	153.967	133.185	277458	53682.8	0	0	0	2000	10000
92	0	0.007	0.029	244	125.836	150.291	124.836	260063	49115.7	2	0	12	1988	10000
92	1	0.0075	0.03	283	133.563	150.291	132.563	276160	52155.8	2	0	0	2000	10000
93	0	0.0065	0.029	243	126.466	151.921	125.466	261377	49899.3	0	0	10	1990	10000
93	1	0.005	0.023	279	128.849	151.921	127.849	266342	50847.1	0	0	0	2000	10000
94	0	0.006	0.027	240	120.882	149.535	119.882	249744	46929.7	0	0	13	1987	10000
94	1	0.0065	0.025	273	125.423	149.535	124.423	259204	48707.3	0	0	0	2000	10000
95	0	0.009	0.0295	246	123.191	154.384	122.191	254553	49384.4	1	0	16	1984	10000
95	1	0.0085	0.0235	278	124.394	154.384	123.394	257059	49870.6	1	0	0	2000	10000
96	0	0.0115	0.027	239	122.694	155.936	121.694	253518	49678.1	2	0	10	1990	10000
96	1	0.0075	0.022	275	125.194	155.936	124.194	258726	50698.6	2	0	0	2000	10000
97	0	0.011	0.028	242	120.178	118.4	119.178	248277	36940	0	0	10	1990	10000
97	1	0.0115	0.027	267	122.65	118.4	121.65	253428	37706.5	0	0	0	2000	10000
98	0	0.009	0.032	243	120.822	134.816	119.822	249619	42289	0	0	5	1995	10000
98	1	0.006	0.024	260	120.831	134.816	119.831	249638	42292.2	0	0	0	2000	10000
99	0	0.011	0.0295	244	122.827	161.317	121.827	253796	51448.8	0	0	9	1991	10000
99	1	0.009	0.0245	256	119.076	161.317	118.076	245981	49864.5	0	0	0	2000	10000
100	0	0.012	0.027	248	125.949	145.657	124.949	260298	47644.5	0	0	6	1994	10000
100	1	0.0085	0.028	254	119.426	145.657	118.426	246711	45157.4	0	0	0	2000	10000
101	0	0.009	0.025	241	129.885	126.65	128.885	268499	42732.2	0	0	2	1998	10000
101	1	0.0095	0.0335	249	122.141	126.65	121.141	252367	40164.8	0	0	0	2000	10000
102	0	0.008	0.03	243	129.274	138.897	128.274	267226	46642.5	0	0	7	1993	10000
102	1	0.0065	0.0285	248	123.356	138.897	122.356	254897	44490.6	0	0	0	2000	10000
103	0	0.009	0.0265	244	127.146	133.178	126.146	262792	43979.9	1	1	8	1991	10000
103	1	0.0075	0.0245	247	116.766	133.178	115.766	241169	40361.2	1	0	0	2000	10000
104	0	0.0055	0.0225	244	124.041	138.787	123.041	256324	44704.3	1	0	8	1992	10000
104	1	0.007	0.0295	242	117.101	138.787	116.101	241867	42183	1	0	0	2000	10000
105	0	0.0095	0.0255	245	120.035	146.763	119.035	247980	45734.4	0	0	9	1991	10000
105	1	0.008	0.0265	242	114.525	146.763	113.525	236499	43617	0	0	0	2000	10000
106	0	0.0095	0.027	246	120.777	126.06	119.777	249524	39527.6	0	0	5	1995	10000
106	1	0.009	0.025	244	113.745	126.06	112.745	234875	37207	0	0	0	2000	10000
107	0	0.0085	0.0315	243	121.227	137.066	120.227	250462	43140	0	0	2	1998	10000
107	1	0.0085	0.025	243	114.819	137.066	113.819	237112	40840.6	0	0	0	2000	10000
108	0	0.0135	0.029	237	117.17	123.627	116.17	242010	37597.2	0	0	2	1998	10000
108	1	0.0095	0.032	246	114.142	123.627	113.142	235703	36617.3	0	0	0	2000	10000
109	0	0.0075	0.025	243	114.398	140.927	113.398	236237	41836.3	0	0	1	1999	10000
109	1	0.008	0.0275	241	113.302	140.927	112.302	233952	41431.6	0	0	0	2000	10000
110	0	0.006	0.027	241	109.763	142.013	108.763	226581	40435.4	0	0	0	2000	10000
110	1	0.007	0.0255	242	105.834	142.013	104.834	218395	38974.6	0	0	0	2000	10000
111	0	0.0095	0.0265	242	109.394	120.765	108.394	225812	34268.6	0	0	0	2000	10000
111	1	0.0105	0.0305	247	105.277	120.765	104.277	217235	32967	0	0	0	2000	10000
